CUSTOMER_NUMBER,FIN_PERIOD,TOTAL_DUE,AMT_CURRENT
AACJ01,2018-10-01,912.0,456.0
AACJ01,2018-11-01,912.0,0.0
AACJ01,2018-12-01,912.0,0.0
AACJ01,2019-01-01,912.0,0.0
AACJ01,2019-02-01,926.64,7.32
AACJ01,2019-03-01,941.28,7.32
AACJ01,2019-04-01,955.92,7.32
AACJ01,2019-05-01,970.56,7.32
AACJ01,2019-06-01,985.41,7.43
AACJC2,2018-10-01,42582.0,21291.0
AACJC2,2018-11-01,42582.0,0.0
AACJC2,2018-12-01,42582.0,0.0
AACJC2,2019-01-01,42582.0,0.0
AACJC2,2019-02-01,42582.0,0.0
AACJC2,2019-03-01,57312.0,7365.0
AADPRG,2018-03-01,10108.6,5054.3
AADPRG,2018-04-01,74246.5,32068.95
AADPRG,2018-05-01,183442.32,54597.91
AADPRG,2018-06-01,232574.22,24565.95
AADPRG,2018-07-01,603365.62,185395.7
AADPRG,2018-08-01,675640.12,36137.25
AADPRG,2018-09-01,704413.5599999999,14386.87
AADPRG,2018-11-01,83137.82,41568.91
AADPRG,2018-12-01,122693.82,19778.0
AADPRG,2019-01-01,140225.58000000002,8765.88
AADPRG,2019-02-01,261446.84,60610.63
AADPRG,2019-03-01,273544.76,6048.96
AADPRG,2019-04-01,296572.12,11513.68
AADPRG,2019-05-01,347444.61999999994,23623.55
AADPRG,2019-06-01,372182.49999999994,12368.94
AADPRG,2019-07-01,393310.39,10564.38
AADPRG,2019-08-01,460424.14,33557.19
AADPRG,2019-09-01,483015.18,11296.0
AADPRG,2019-10-01,581914.3400000001,19454.25
AADPRG,2019-11-01,581913.79,0.0
AADPRG,2019-12-01,727816.41,72951.78
AADPRG,2020-01-01,727817.03,0.0
AADPRO,2018-03-01,1102137.8200000003,18708.35
AADPRO,2018-04-01,1102137.8200000003,0.0
AADPRO,2018-05-01,1107635.4200000002,2749.0
AADPRO,2018-06-01,1160893.1400000001,26629.26
AADPRO,2018-07-01,1260801.09,49954.0
AADPRO,2018-08-01,1220750.78,0.0
AADPRO,2018-09-01,1240273.15,9761.36
AADPRO,2018-10-01,1340664.63,50195.74
AADPRO,2018-11-01,1134304.63,0.0
AADPRO,2018-12-01,1148745.37,7220.0
AADPRO,2019-01-01,1167841.37,9548.0
AADPRO,2019-02-01,1143961.37,0.0
AADPRO,2019-03-01,1129613.01,0.0
AADPRO,2019-04-01,1135102.27,2745.0
AADPRO,2019-05-01,1135562.77,230.25
AADPRO,2019-06-01,1194221.27,29328.75
AADPRO,2019-07-01,1146645.27,0.0
AADPRO,2019-08-01,1082785.15,0.0
AADPRO,2019-09-01,1102102.85,9658.85
AADPRO,2019-10-01,1089420.65,0.0
AADPRO,2019-11-01,1068082.55,0.0
AADPRO,2019-12-01,1073632.4,0.0
AADPRO,2020-01-01,1103660.4,15014.0
AAMI01,2018-03-01,2001.84,0.0
AAMI01,2018-04-01,1001.84,0.0
AAMI01,2018-05-01,1846.88,923.44
AAMI01,2018-06-01,1846.88,0.0
AAMI01,2018-07-01,1846.88,0.0
AAMI01,2018-08-01,1846.88,0.0
AAMI01,2018-09-01,1046.88,0.0
AAMI01,2019-07-01,1812.48,906.24
AAMI01,2019-08-01,1812.48,0.0
AAMI01,2019-09-01,1812.48,0.0
AAMI01,2019-10-01,1812.48,0.0
ABHG01,2018-03-01,1197.0,1.14
ABHG01,2018-04-01,1197.0,598.5
ABHG01,2018-11-01,1368.0,684.0
ABHG01,2018-12-01,2691.54,661.77
ABHG01,2019-07-01,1812.48,906.24
ABHN01,2018-04-01,74.1,37.05
ABHN01,2018-05-01,9146.22,4536.06
ABHN01,2018-08-01,3278.08,1639.04
ABHN01,2018-09-01,2141.34,453.72
ABHN01,2018-12-01,3898.8,1949.4
ABHN01,2019-01-01,1721.4,256.5
ABHN01,2019-02-01,241.68,39.9
ABHN01,2019-03-01,161.88,0.0
ABHN01,2019-04-01,-1641.6,-820.8
ABHN01,2019-05-01,-1641.6,-820.8
ABHN01,2019-06-01,-1641.6,-820.8
ABHN01,2019-07-01,-1641.6,-820.8
ABHN01,2019-08-01,-1641.6,-820.8
ABHN01,2019-09-01,-1641.6,-820.8
ABHN01,2019-10-01,-1641.6,-820.8
ABHN01,2019-11-01,-330.84,-165.42
ABHN01,2019-12-01,888.84,444.42
ABHN01,2020-01-01,-239.76,-119.88
ABHN02,2018-05-01,63.84,31.92
ABHN02,2018-06-01,63.84,0.0
ABHN02,2018-07-01,-392.16,-196.08
ABHN02,2018-08-01,-392.16,-196.08
ABHN02,2018-09-01,-392.16,-196.08
ABHN02,2018-10-01,-392.16,-196.08
ABHN02,2018-11-01,-392.16,-196.08
ABHN02,2018-12-01,-392.16,-196.08
ABHN02,2019-01-01,-392.16,-196.08
ABHN02,2019-02-01,5809.44,2904.72
ABHN02,2019-03-01,-13.44,-6.72
ABHN02,2019-04-01,-13.44,-6.72
ABHN02,2019-05-01,-13.44,-6.72
ABHN02,2019-06-01,-280.2,-140.1
ABHN02,2019-07-01,-280.2,-140.1
ABHN02,2019-08-01,-280.2,-140.1
ABHN02,2019-09-01,-6.72,-3.36
ABHN02,2019-10-01,2341.56,1170.78
ABHN02,2020-01-01,399.0,199.5
ABLA01,2018-03-01,458.28,0.0
ABLA01,2018-06-01,411.54,205.77
ABLA01,2018-07-01,411.54,0.0
ABLA01,2018-08-01,411.54,0.0
ABLA01,2018-09-01,411.54,0.0
ABLA01,2018-10-01,411.54,0.0
ABRC01,2018-11-01,150.48,75.24
ABRC01,2018-12-01,150.48,0.0
ABRC01,2019-01-01,982.6800000000001,416.1
ABRC01,2019-02-01,832.2,0.0
ABRC01,2019-04-01,243.96,121.98
ABRC01,2019-05-01,1076.16,416.1
ABRC01,2019-06-01,1076.16,0.0
ABRC01,2019-07-01,105.1,0.0
ACHB01,2018-03-01,4514.4,1209.54
ACHB01,2018-09-01,16710.12,8355.06
ACHB01,2018-11-01,47652.0,23826.0
ACHB01,2018-12-01,32440.0,0.0
ACHB01,2019-01-01,42289.6,4924.8
ACHB01,2019-02-01,22532.68,10596.23
ACHB01,2019-03-01,2052.0,1026.0
ACHB01,2019-04-01,2998.2,473.1
ACHB01,2019-05-01,2998.2,0.0
ACHB01,2019-06-01,270.2,0.0
ACHB01,2019-11-01,24897.6,12448.8
ACHB01,2019-12-01,10989.6,0.0
ACHB01,2020-01-01,10989.6,0.0
ACHP01,2018-07-01,1117.2,558.6
ACHP01,2018-08-01,1117.2,0.0
ACHR01,2018-03-01,7727.46,0.0
ACHR01,2018-04-01,7426.259999999999,0.0
ACHR01,2018-05-01,7425.679999999999,0.0
ACHR01,2018-06-01,2181.96,0.0
ACHR01,2018-07-01,2180.98,0.0
ACHR01,2018-08-01,2180.98,0.0
ACHR01,2018-09-01,2180.98,0.0
ACHR01,2018-10-01,1126.32,563.16
ACHR01,2018-11-01,6313.32,2593.5
ACHR01,2018-12-01,6313.32,0.0
ACHR01,2019-01-01,6313.32,0.0
ACHR01,2019-02-01,6313.32,0.0
ACHR01,2019-03-01,6313.32,0.0
ACHR01,2019-04-01,6313.16,0.0
ACHR01,2019-05-01,6312.66,0.0
ACHR01,2019-06-01,6312.66,0.0
ACHR01,2019-07-01,6312.66,0.0
ACHR01,2019-08-01,6312.66,0.0
ACHR01,2019-09-01,6312.66,0.0
ACHR01,2019-10-01,-0.68,-0.34
ACHR01,2019-11-01,-0.68,-0.34
ACHR01,2019-12-01,-0.68,-0.34
ACHR01,2020-01-01,-7570.28,-3785.14
ACHR02,2020-01-01,7569.6,3784.8
ACHU01,2018-03-01,20187.64,1970.83
ACHU01,2018-04-01,20187.64,0.0
ACHU01,2018-05-01,20186.79,0.0
ACHU01,2018-06-01,9187.64,0.0
ACHU01,2018-07-01,9186.65,0.0
ACHU01,2018-08-01,14253.47,7042.92
ACHU01,2018-09-01,14252.66,0.0
ACHU01,2018-10-01,14252.66,0.0
ACHU01,2018-11-01,14252.66,0.0
ACHU01,2018-12-01,14252.66,0.0
ACHU01,2019-01-01,14252.66,0.0
ACHU01,2019-02-01,14251.74,0.0
ACHU01,2019-03-01,14251.74,0.0
ACHU01,2019-04-01,14251.74,0.0
ACHU01,2019-05-01,6252.74,0.0
ACHU01,2019-06-01,6252.74,0.0
ACHV01,2018-03-01,6338.4,591.66
ACHV01,2018-04-01,8463.36,1062.48
ACHV01,2018-05-01,6919.8,2392.86
ACHV01,2018-06-01,-1356.6,-678.3
ACHV01,2018-07-01,-1356.6,-678.3
ACHV01,2018-08-01,1896.96,948.48
ACHV01,2018-09-01,1197.0,598.5
ACHV01,2018-10-01,-1356.6,-678.3
ACHV01,2018-11-01,5266.8,2633.4
ACHV01,2019-02-01,4368.48,2184.24
ACHV01,2019-06-01,1399.92,699.96
ACHV01,2019-12-01,11152.06,5576.03
ACHVC1,2018-03-01,17090.0,8545.0
ACHVC1,2018-04-01,17090.0,0.0
ACHVC1,2018-05-01,17090.0,0.0
ACHVC1,2018-06-01,17090.0,0.0
ACHVC1,2018-07-01,17090.0,0.0
ACHVC1,2018-08-01,17090.0,0.0
ACHVC1,2018-09-01,17090.0,0.0
ACHVC1,2018-10-01,17090.0,0.0
ACHVC1,2018-11-01,17090.0,0.0
ACHVC1,2018-12-01,17090.0,0.0
ACHVC1,2019-01-01,17090.0,0.0
ACLS02,2018-03-01,8364.86,0.0
ACLS02,2018-04-01,8364.86,0.0
ACLS02,2018-05-01,8888.58,4234.53
ACLS02,2018-06-01,12741.78,1926.6
ACLS02,2018-07-01,23827.139999999996,5752.44
ACLS02,2018-08-01,22933.38,0.0
ACLS02,2018-09-01,20779.92,3157.8
ACLS02,2018-10-01,5485.68,0.0
ACLS02,2018-11-01,12113.64,3313.98
ACLS02,2018-12-01,12113.64,0.0
ACLS02,2019-01-01,29017.56,11194.8
ACLS02,2019-02-01,25410.6,1510.5
ACLS02,2019-03-01,34056.36,4322.88
ACLS02,2019-04-01,11244.96,210.9
ACLS02,2019-05-01,16037.52,7203.66
ACLS02,2019-06-01,16117.32,39.9
ACLS02,2019-07-01,15887.039999999999,0.0
ACLS02,2019-08-01,15887.039999999999,0.0
ACLS02,2019-09-01,79.8,0.0
ACLS02,2019-10-01,1139.88,530.04
ACLS02,2019-11-01,1060.08,0.0
ACLS02,2019-12-01,1060.08,0.0
ACLS02,2020-01-01,1572.96,786.48
ACLS03,2019-04-01,20440.2,10220.1
ACLS03,2019-05-01,20440.2,0.0
ACLS03,2019-06-01,20440.2,0.0
ACLS03,2019-07-01,12138.24,118.26
ACLS03,2019-08-01,12329.16,95.46
ACLS03,2019-09-01,9812.399999999998,4810.74
ACLS03,2019-10-01,9812.399999999998,0.0
ACLS03,2019-11-01,9621.48,0.0
ACLS03,2019-12-01,3679.58,29.05
ACLS03,2020-01-01,821.78,381.84
ACLSC1,2018-03-01,33596.0,16798.0
ACLSC1,2018-04-01,33596.0,0.0
ACLSC1,2018-05-01,26792.0,0.0
ACLSC1,2018-06-01,26792.0,0.0
ACLSC1,2018-07-01,26358.0,0.0
ACLSC1,2018-08-01,26358.0,0.0
ACLSC1,2018-09-01,20818.0,0.0
ACLSC1,2018-10-01,19768.0,0.0
ACLSC1,2018-11-01,14180.0,0.0
ACLSC1,2018-12-01,14180.0,0.0
AFRM01,2018-07-01,1197.0,598.5
AFRM01,2018-08-01,1225.5,14.25
AFRM01,2018-09-01,28.5,0.0
AFRM01,2018-10-01,1100.1,535.8
AFRM01,2018-11-01,1100.1,0.0
AFRM01,2018-12-01,1407.9,689.7
AFRM01,2019-01-01,1407.9,0.0
AFRM01,2019-02-01,28.5,0.0
AFRM01,2019-07-01,342.0,171.0
AFRM01,2019-08-01,829.92,243.96
AFRM01,2019-09-01,487.92,0.0
AFRM01,2019-10-01,487.92,0.0
AFRM02,2018-09-01,250.8,125.4
AFRM02,2018-10-01,250.8,0.0
AFRM02,2018-11-01,250.8,0.0
AFRM02,2018-12-01,250.8,0.0
AFRM02,2019-06-01,32617.68,16308.84
AFRM07,2018-11-01,266.76,133.38
AFRM07,2018-12-01,266.76,0.0
AFRM07,2019-01-01,266.76,0.0
AFRM08,2018-03-01,2950.7,0.0
AFRM08,2018-04-01,-1999.3,-999.65
AFRM08,2018-05-01,5839.78,2919.89
AFRM08,2018-06-01,5839.78,0.0
AFRM08,2018-07-01,5839.78,0.0
AFRM08,2018-08-01,8723.54,2441.88
AFRM08,2018-09-01,6280.14,678.3
AFRM08,2018-10-01,8416.5,1068.18
AFRM08,2018-11-01,5016.5,0.0
AFRM08,2018-12-01,4183.5,2023.5
AFRM08,2019-01-01,4183.5,0.0
AFRM08,2019-02-01,4183.5,0.0
AFRM08,2019-03-01,4183.5,0.0
AFRM08,2019-04-01,1001.25,0.0
AFRM08,2020-01-01,483.36,241.68
AFRM10,2018-03-01,12936.72,0.0
AFRM10,2018-04-01,-727.32,-363.66
AFRM10,2018-05-01,-1830.84,-915.42
AFRM10,2018-06-01,-1830.84,-915.42
