CUSTOMER_NUMBER,CCAT_CODE,REGION_CODE,REP_CODE,SETTLE_TERMS,NORMAL_PAYTERMS,DISCOUNT,CREDIT_LIMIT,COMM_METHOD,COMMISSION,REP_DESC_CLEAN,REP_GROUP,PARAMETER,REGION_DESC,PROVINCE,CCAT_DESC,CCAT_GROUP
AACJ01,21,25b,ZZZ5,0,90,0,999999,,,,,Closed,,,,
AACJC1,21,25b,ZZZ5,0,120,0,999999,,,,,Closed,,,,
AACJC2,5,20a,CONS4,0,120,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Promotion,,,Consignment,Channel: Consignment
AADPRG,6,21a,XX,0,120,0,999999,Gross Profit,0.0,CONSIGNMENT,Channel: Consignment,,,,Advertising Appro,Internal: Advertising
AAMI01,41,10a,02,0,120,0,2000,Sales,0.5,R,Sales Rep,,Durban,KwaZulu-Natal,,
AAVN01,21,25b,ZZZ5,0,120,0,500,,,,,Closed,,,,
ABHG01,49,10a,02,0,120,0,1500,Sales,0.5,R,Sales Rep,,Durban,KwaZulu-Natal,,
ABHG02,39,6a,04,0,120,0,2500,Sales,0.5,BM,Sales Rep,,East Cape,Eastern Cape,,
ABHN01,49,10a,02,0,120,0,1500,Sales,0.5,R,Sales Rep,,Durban,KwaZulu-Natal,,
ABHN02,41,10a,02,0,30,0,500,Sales,0.5,R,Sales Rep,,Durban,KwaZulu-Natal,,
ABLA01,21,25b,ZZZ5,0,120,0,3000,,,,,Closed,,,,
ABLE01,21,25b,ZZZ,0,120,0,500,,,,,Closed,,,,
ABRC01,31,8a,06,0,120,0,3000,Sales,0.0,DA,Sales Rep,,Gauteng E - Alberton/Benoni/Kempton,Gauteng,,
ABRD01,39,6a,04,0,120,0,2000,Sales,0.5,BM,Sales Rep,,East Cape,Eastern Cape,,
ACHB01,4,1b,03,0,120,0,1000,Sales,0.5,BJ,Sales Rep,,Pretoria North/South/West,Gauteng,,
ACHBC1,5,20a,CON3S,0,120,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Consignment,,,Consignment,Channel: Consignment
ACHBC1,5,20a,CON3S,0,120,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Promotional Stand,,,Consignment,Channel: Consignment
ACHD01,21,25b,ZZZ5,0,120,0,2000,,,,,,,,,
ACHP01,14,3b,06,0,120,0,12000,Sales,0.0,DA,Sales Rep,,Johannesburg CBD,Gauteng,,
ACHR01,20,25a,CITC,0,120,0,3000,Sales,0.5,,Unclassified_Missing_Data,,,,,
ACHR02,4,1b,03,0,120,0,999999,Sales,0.5,BJ,Sales Rep,,Pretoria North/South/West,Gauteng,,
ACHT01,21,25b,ZZZ5,0,120,0,3000,,,,,,,,,
ACHU01,20,25a,CITC,0,120,0,4000,Sales,0.5,,Unclassified_Missing_Data,,,,,
ACHV01,43,3a,05,0,120,0,2500,Sales,0.5,RL,Sales Rep,,Soweto/Lenasia,Gauteng,,
