CUSTOMER_NUMBER,PARAMETER,PARAMETER_GROUP
AACJ01,Closed,Account Status
AACJC1,Closed,Account Status
AACJC2,Promotion,Marketing
AAVN01,Closed,Account Status
ABLA01,Closed,Account Status
ABLE01,Closed,Account Status
ACHBC1,Consignment,Operations
ACHBC1,Promotional Stand,Retail Format
ACHVC1,Consignment,Operations
ACHVOC,Consignment,Operations
ACLS02,Trading Account,Account Status
ACLSC1,Consignment,Operations
ACLSOC,Closed,Account Status
ADIMOC,Consignment,Operations
AFRM03,Closed,Account Status
AFRMOC,Consignment,Operations
AFRN01,Closed,Account Status
AFRN02,Closed,Account Status
AFRN05,Trading Account,Account Status
AFRNOC,Consignment,Operations
AGRNC1,Consignment,Operations
AGRY01,Trading Account,Account Status
AGRYCO,Consignment,Operations
AGUROC,Closed,Account Status
AGUROC,Consignment,Operations
AICR03,Closed,Account Status
AICR09,Closed,Account Status
AICRC1,Consignment,Operations
AICROC,Consignment,Operations
AKER02,Closed,Account Status
AKHN07,Trading Account,Account Status
AKHNC1,Consignment,Operations
AKHNOC,Consignment,Operations
AMARC1,Consignment,Operations
AMI02,Trading Account,Account Status
AMIC1,Consignment,Operations
AMIOC,Closed,Account Status
AMIOC,Consignment,Operations
AMIOOC,Consignment,Operations
AMKNOC,Consignment,Operations
AREL03,Closed,Account Status
ARELCO,Consignment,Operations
ARELWM,Promotion,Marketing
ASEPOC,Consignment,Operations
ASHN01,Trading Account,Account Status
ASHNC1,Consignment,Operations
ASHNC1,Promotional Stand,Retail Format
ASHNOC,Consignment,Operations
ASMROC,Consignment,Operations
ASTL01,Trading Account,Account Status
ASTLC1,Consignment,Operations
ASTLOC,Closed,Account Status
ASTN01,Promotional Stand,Retail Format
ASTN07,Closed,Account Status
ASTNC1,Promotional Stand,Retail Format
ASTNC2,Consignment,Operations
ASTNC2,Promotional Stand,Retail Format
ASTNC3,Promotion,Marketing
ASTNOC,Closed,Account Status
ATHT01,Closed,Account Status
ATYL02,Closed,Account Status
ATYLC1,Consignment,Operations
ATYLC1,Promotional Stand,Retail Format
BABR02,Closed,Account Status
BGAO01,Closed,Account Status
BHAEOC,Promotional Stand,Retail Format
BJMOC,Consignment,Operations
BJOI01,Closed,Account Status
BKOROC,Consignment,Operations
BROA01,Trading Account,Account Status
BROA02,Closed,Account Status
BROAC1,Consignment,Operations
BROAOC,Consignment,Operations
BURA01,Trading Account,Account Status
BURAOC,Consignment,Operations
CADOC1,Promotional Stand,Retail Format
CADOOC,Consignment,Operations
CADOOC,Promotional Stand,Retail Format
CBAH01,Closed,Account Status
CBAH02,Closed,Account Status
CBUH01,Trading Account,Account Status
CBUH02,Trading Account,Account Status
CBUH03,Closed,Account Status
CBUH2C,Closed,Account Status
CBUH3C,Closed,Account Status
CBUHC1,Consignment,Operations
CBUHC2,Consignment,Operations
CBUHOC,Closed,Account Status
CKOKOC,Consignment,Operations
CNIBCO,Consignment,Operations
CNIHC1,Consignment,Operations
CNIHCO,Promotion,Marketing
CNIHOC,Consignment,Operations
COCHC2,Consignment,Operations
COCHC3,Consignment,Operations
COCHC4,Consignment,Operations
COCHC5,Promotion,Marketing
COCHCO,Consignment,Operations
COCHOC,Consignment,Operations
CPAEOC,Consignment,Operations
CSPEN1,Consignment,Operations
CSPEN1,Promotional Stand,Retail Format
CSPENT,Consignment,Operations
CZOC01,Closed,Account Status
DBEW01,Closed,Account Status
DBOEC,Consignment,Operations
DBOEC,Promotional Stand,Retail Format
DBOEC1,Consignment,Operations
DBOEC1,Promotional Stand,Retail Format
DBUG02,Closed,Account Status
DDA01,Trading Account,Account Status
DDAAC1,Promotion,Marketing
DDAAOC,Consignment,Operations
DFESOC,Promotion,Marketing
DGS01,Closed,Account Status
'DGSOC,Consignment,Operations
DHYRC1,Consignment,Operations
DHYRC1,Promotional Stand,Retail Format
DHYRC2,Consignment,Operations
DHYRC3,Consignment,Operations
DHYRC3,Promotional Stand,Retail Format
DHYRC4,Consignment,Operations
DHYRC4,Promotional Stand,Retail Format
DHYRC5,Consignment,Operations
DHYRC6,Consignment,Operations
DJAEOC,Consignment,Operations
DLEWC1,Promotional Stand,Retail Format
DMCO0C,Consignment,Operations
DMCOC1,Consignment,Operations
DMCOC2,Consignment,Operations
DMCOC2,Promotional Stand,Retail Format
DMEI01,Trading Account,Account Status
DMEI04,Closed,Account Status
DMEI09,Closed,Account Status
DMEI12,Closed,Account Status
DMEIC1,Consignment,Operations
DMEIC1,Promotional Stand,Retail Format
DMEIC2,Promotional Stand,Retail Format
DMEIOC,Closed,Account Status
DMIR01,Trading Account,Account Status
DMIRC1,Consignment,Operations
DMIROC,Consignment,Operations
DRAUOC,Consignment,Operations
DREDOC,Consignment,Operations
DREDOC,Promotion,Marketing
DVIA01,Trading Account,Account Status
DVIAC1,Promotional Stand,Retail Format
DVIAOC,Consignment,Operations
DVIE01,Closed,Account Status
DVOAC1,Closed,Account Status
DVOAOC,Closed,Account Status
EALX03,Trading Account,Account Status
EALXC1,Closed,Account Status
EALXC2,Consignment,Operations
EALXC2,Promotional Stand,Retail Format
EALXOC,Closed,Account Status
EBLC01,Closed,Account Status
EBLW01,Closed,Account Status
EBLW02,Closed,Account Status
EBRE01,Closed,Account Status
EBRW01,Closed,Account Status
ECHTCO,Consignment,Operations
ECOT01,Closed,Account Status
ECOTOC,Consignment,Operations
ECRW01,Closed,Account Status
ECRWC1,Closed,Account Status
ECRWOC,Closed,Account Status
EDIPOC,Consignment,Operations
EEDN01,Closed,Account Status
EEYB01,Trading Account,Account Status
EEYBOC,Consignment,Operations
EEYC1,Consignment,Operations
EEYCC2,Closed,Account Status
EEYCC3,Consignment,Operations
EEYCC5,Consignment,Operations
EEYCC6,Consignment,Operations
