CUSTOMER_NUMBER,DEPOSIT_REF
AAMI01,DB09-026
ABHG01,DB06-176
ABHN01,DB08-195
ABHN02,DB09-181
ABRC01,DB05-041
ABRC01,DD06-004
ACHB01,CJ04A008
ACHB01,DD05-018
ACHR01,DB08-166
ACHR01,DB11-049
ACHU01,DB03-217
ACHU01,DB05-048
ACHV01,DB11-152
ACLS02,DB05-037
ACLS02,DB07-053
ACLS02,DB09-050
ACLS02,DB11-076
ACLS03,DB05-135
ACLS03,DB07-064
ACLS03,DB07-198
ACLS03,DB10-046
ACLS03,DB11-045
AFRM01,DD07-015
AFRM01,DD09-005
AFRM10,DB10-164
AFRM10,DB11-001
AFRN05,DB10-018
AFRN05,DD04-001
AFRN05,DD05-016
AFRN05,DD08-003
AFRN05,DD09-003
AGRN01,DB11-092
AGRY01,DB06-029
AGRY01,DB11-015
AGXM01,DB06-016
AGXM01,DB08-066
AGXM01,DB08-143
AHET01,DB08-201
AICR02,DB06-178
AICR02,DB09-004
AICR04,DB04-003
AICR04,DB08-216
AICR04,DB10-163
AICR04,DB11-172
AICR05,DB05-120
AICR05,DB06-015
AICR05,DB10-165
AICR05,DB11-173
AICR05,DD08-004
AICR07,DD04-002
AICR07,DD07-001
AICR09,DD06-009
AKER01,DB10-066
AKGK01,DB07-134
AKGK01,DB10-132
AKGK01,DD05-012
AKGK01,DD11-012
AKHN01,DB04-121
AKHN01,DB05-157
AKHN01,DB06-177
AKHN01,DB08-073
AKHN01,DB09-148
AKHN01,DB10-122
AKHN01,DD05-005
AKHN03,DB09-065
AKHN03,DB12-081
AKHN03,DD04-001
AKHN04,DD10-007
AKHN07,DB06-031
AKHN07,DD05-008
AKHN07,DD08-006
AKHN07,DD09-017
AKHN07,DD11-002
AKHN08,DD09-011
AKWN01,DD10-003
AMAK01,DD05-017
AMAR01,DB03-171
AMKN01,DD09-007
AMKN01,DD10-006
AMKN01,DD11-003
AMMB01,DB03-070
AMMB01,DB05-059
AMOL01,DB06-195
ANKD01,DB10-120
ANKD01,DB11-090
ANKM01,DB03-066
ANKM01,DD04-009
ANKM01,DD05-001
ANKM01,DD05-018
