CUSTOMER_NUMBER,FIN_PERIOD,DEPOSIT_DATE,DEPOSIT_REF,BANK_AMT,DISCOUNT,TOT_PAYMENT
AAMI01,201909,2019-11-06,DB09-026,-906.24,0,-906
ABHG01,201906,2019-08-30,DB06-176,-860.93,-45,-860
ABHN01,201908,2019-10-29,DB08-195,-655.16,-34,-655
ABHN02,201909,2019-11-29,DB09-181,-536.09,-24,-536
ABRC01,201905,2019-07-05,DB05-041,-929.44,-40,-928
ABRC01,201906,2019-08-06,DD06-004,0.0,-52,0
ACHB01,201904,2019-06-07,CJ04A008,-1364.0,0,-1364
ACHB01,201905,2019-07-30,DD05-018,-270.2,0,-270
ACHR01,201908,2019-10-24,DB08-166,-3157.0,0,-3157
ACHR01,202011,2020-01-16,DB11-049,-3406.32,-378,-3406
ACHU01,201903,2019-05-31,DB03-217,-4000.0,0,-4000
ACHU01,201905,2019-07-05,DB05-048,-6253.48,0,-6252
ACHV01,202011,2020-01-29,DB11-152,-4739.62,-836,-4739
ACLS02,201905,2019-07-04,DB05-037,-230.28,0,-230
ACLS02,201907,2019-09-09,DB07-053,-7903.62,0,-7903
ACLS02,201909,2019-11-12,DB09-050,-39.9,0,-39
ACLS02,202011,2020-01-21,DB11-076,-530.04,0,-530
ACLS03,201905,2019-07-17,DB05-135,-8538.48,0,-8538
ACLS03,201907,2019-09-10,DB07-064,-3164.58,0,-3164
ACLS03,201907,2019-09-30,DB07-198,-2904.54,0,-2904
ACLS03,201910,2019-12-10,DB10-046,-3000.0,0,-3000
ACLS03,202011,2020-01-15,DB11-045,-1810.74,0,-1810
AFRM01,201907,2019-09-04,DD07-015,-153.9,-17,-153
AFRM01,201909,2019-11-07,DD09-005,-219.56,-24,-219
AFRM10,202010,2019-12-31,DB10-164,-690.97,-76,-690
AFRM10,202011,2020-01-02,DB11-001,-5627.61,0,-5627
AFRN05,201904,2019-06-03,DD04-001,0.0,-165,0
AFRN05,201905,2019-07-25,DD05-016,-2202.48,0,-2202
AFRN05,201908,2019-10-07,DD08-003,-4282.52,-475,-4282
AFRN05,201909,2019-11-05,DD09-003,-794.39,-88,-794
AFRN05,201910,2019-12-03,DB10-018,-537.89,0,-537
AGRN01,202011,2020-01-23,DB11-092,-900.6,0,-900
AGRY01,201906,2019-08-07,DB06-029,-8208.45,0,-8208
AGRY01,202011,2020-01-08,DB11-015,-1239.18,0,-1239
AGXM01,201906,2019-08-02,DB06-016,-3000.0,0,-3000
AGXM01,201908,2019-10-10,DB08-066,-1700.0,0,-1700
