CUSTOMER_NUMBER,CCAT_CODE,REGION_CODE,REP_CODE,SETTLE_TERMS,NORMAL_PAYTERMS,DISCOUNT,CREDIT_LIMIT
AACJ01,21,25b,ZZZ5,0.0,90,0,999999
AAMI01,41,10a,02,0.0,120,0,2000
AAVN01,21,25b,ZZZ5,0.0,120,0,500
ABHG01,49,10a,02,0.0,120,0,1500
ABHG02,39,6a,04,0.0,120,0,2500
ABHN01,49,10a,02,0.0,120,0,1500
ABHN02,41,10a,02,0.0,30,0,500
ABLA01,21,25b,ZZZ5,0.0,120,0,3000
ABLE01,21,25b,ZZZ,0.0,120,0,500
ABRC01,31,8a,06,0.0,120,0,3000
ABRD01,39,6a,04,0.0,120,0,2000
ACHB01,4,1b,03,0.0,120,0,1000
ACHD01,21,25b,ZZZ5,0.0,120,0,2000
ACHP01,14,3b,06,0.0,120,0,12000
ACHR01,20,25a,CITC,0.0,120,0,3000
ACHR02,4,1b,03,0.0,120,0,999999
ACHT01,21,25b,ZZZ5,0.0,120,0,3000
ACHU01,20,25a,CITC,0.0,120,0,4000
ACHV01,43,3a,05,0.0,120,0,2500
ACLS01,20,25a,ZZZ2,0.0,120,0,0
ACLS02,39,6a,02,0.0,30,0,10000
ACLS03,37,11a,03,0.0,60,0,999999
ADIM01,45,2a,05,0.0,120,0,2000
ADJG01,21,25b,ZZZ5,0.0,120,0,999999
AEVN01,21,25b,ZZZ5,0.0,120,0,2000
AFRM01,30,7a,05,0.0,120,0,15000
AFRM02,30,7a,05,0.0,120,0,7500
AFRM03,21,25b,ZZZ5,0.0,120,0,5000
AFRM05,2,1a,03,0.0,120,0,10000
AFRM06,21,25b,ZZZ5,0.0,120,0,10000
AFRM07,36,7c,05,0.0,120,0,3000
AFRM08,43,3a,05,0.0,120,0,1500
AFRM09,21,25b,ZZZ2,0.0,120,0,0
AFRM10,30,7a,05,0.0,120,0,10000
AFRN01,5,20a,CONS2,0.0,120,0,999999
AFRN02,21,25b,ZZZ5,0.0,120,0,5000
AFRN03,20,25a,ZZZ4,0.0,120,0,1000
AFRN04,20,25a,ZZZ2,0.0,120,0,3000
AFRN05,36,7c,05C,0.0,120,0,10000
AGQD01,20,25a,ZZZ3,0.0,120,0,10000
AGRN01,1,9a,01,0.0,60,0,999999
AGRY01,46,2b,05,0.0,120,0,5000
AGUR01,21,25b,ZZZ5,0.0,120,0,1000
AGXM01,20,25a,CITC,0.0,120,0,7500
AGYN01,49,10a,02,0.0,120,0,2500
AHEL01,33,1d,03,0.0,120,0,4000
AHET01,2,1a,03,0.0,120,0,5000
AICR01,21,25b,ZZZ5,0.0,120,0,3000
AICR02,31,8a,06,0.0,120,0,1000
AICR03,21,25b,ZZZ5,0.0,120,0,500
AICR04,46,2b,03,0.0,120,0,500
AICR05,31,8a,06,0.0,120,0,999999
AICR06,21,25b,ZZZ5,0.0,120,0,10000
AICR07,41,10a,02,0.0,120,0,3000
AICR08,46,2b,03,0.0,30,0,5000
AICR09,31,8a,ZZZ,0.0,120,0,6000
AJEN01,42,10b,02,0.0,120,0,2000
AKER01,36,7c,05,0.0,120,0,3000
AKER02,21,25b,ZZZ5,0.0,120,0,4000
AKER03,21,25b,ZZZ5,0.0,120,0,5000
AKEY01,21,25b,04,0.0,120,0,1000
AKGK01,31,8a,06,0.0,120,0,3000
AKGR01,21,25b,ZZZ5,0.0,120,0,0
AKHI01,21,25b,ZZZ5,0.0,120,0,2000
AKHN01,41,10a,02,0.0,120,0,20000
AKHN02,41,10a,02,0.0,120,0,3000
AKHN03,43,3a,05,0.0,120,0,5000
AKHN04,40,6b,04,0.0,120,0,2000
AKHN05,49,10a,02,0.0,120,0,2000
AKHN06,21,25b,ZZZ5,0.0,120,0,0
AKHN07,41,10a,02,0.0,120,0,999999
AKHN08,4,1b,03,0.0,120,0,3000
AKWN01,31,8a,06,0.0,120,0,2500
AMAK01,43,3a,06,0.0,60,0,999999
AMAR01,40,6b,04,0.0,120,0,4000
AMAR02,40,6b,04,0.0,120,0,5000
AMKN01,20,25a,CITC,0.0,120,0,16000
AMKN02,34,1e,03,0.0,120,0,2000
AMMB01,19,4b,06,0.0,120,0,15000
AMMB02,21,25b,ZZZ5,0.0,120,0,0
AMOG01,47,2c,06,0.0,120,0,5000
