CUSTOMER_NUMBER,CCAT_CODE,REGION_CODE,REP_CODE,SETTLE_TERMS,NORMAL_PAYTERMS,DISCOUNT,CREDIT_LIMIT,REGION_DESC,CCAT_DESC,PARAMETER,PARAMETER_GROUP
AAMI01,41,10a,02,0,120,0,2000,Durban,KZN/DBN,,
ABHG01,49,10a,02,0,120,0,1500,Durban,KwaZulu-Natal / Durban,,
ABHG02,39,6a,04,0,120,0,2500,East Cape,Eastern Cape,,
ABHN01,49,10a,02,0,120,0,1500,Durban,KwaZulu-Natal / Durban,,
ABHN02,41,10a,02,0,30,0,500,Durban,KZN/DBN,,
ABRC01,31,8a,06,0,120,0,3000,Gauteng E - Alberton/Benoni/Kempton,Gauteng East,,
ABRD01,39,6a,04,0,120,0,2000,East Cape,Eastern Cape,,
ACHB01,4,1b,03,0,120,0,1000,Pretoria North/South/West,Pretoria North/South /West,,
ACHP01,14,3b,06,0,120,0,12000,Johannesburg CBD,Johannesburg CBD,,
ACHR02,4,1b,03,0,120,0,999999,Pretoria North/South/West,Pretoria North/South /West,,
ACHV01,43,3a,05,0,120,0,2500,Soweto/Lenasia,Soweto / Lenasia,,
ACLS03,37,11a,03,0,60,0,999999,Free State / Lesotho,Free State,,
ADIM01,45,2a,05,0,120,0,2000,Vaal Triangle,Vaal Triangle,,
AFRM01,30,7a,05,0,120,0,15000,Gauteng N - Sandton,Gauteng North - Sandton,,
AFRM02,30,7a,05,0,120,0,7500,Gauteng N - Sandton,Gauteng North - Sandton,,
AFRM05,2,1a,03,0,120,0,10000,Pretoria Central,Pretoria Central,,
AFRM07,36,7c,05,0,120,0,3000,Gauteng N - Eastgate/Norwood/Midrand,Gauteng North - Eastgate / Norwood / Midrand,,
AFRM08,43,3a,05,0,120,0,1500,Soweto/Lenasia,Soweto / Lenasia,,
AFRM10,30,7a,05,0,120,0,10000,Gauteng N - Sandton,Gauteng North - Sandton,,
AGYN01,49,10a,02,0,120,0,2500,Durban,KwaZulu-Natal / Durban,,
AHEL01,33,1d,03,0,120,0,4000,Pretoria,Pretoria,,
AHET01,2,1a,03,0,120,0,5000,Pretoria Central,Pretoria Central,,
AICR02,31,8a,06,0,120,0,1000,Gauteng E - Alberton/Benoni/Kempton,Gauteng East,,
AICR04,46,2b,03,0,120,0,500,Krugersdorp / Sun City,Krugersdorp Suncity,,
AICR05,31,8a,06,0,120,0,999999,Gauteng E - Alberton/Benoni/Kempton,Gauteng East,,
AICR07,41,10a,02,0,120,0,3000,Durban,KZN/DBN,,
AICR08,46,2b,03,0,30,0,5000,Krugersdorp / Sun City,Krugersdorp Suncity,,
AJEN01,42,10b,02,0,120,0,2000,Midlands,Midlands,,
AKER01,36,7c,05,0,120,0,3000,Gauteng N - Eastgate/Norwood/Midrand,Gauteng North - Eastgate / Norwood / Midrand,,
AKGK01,31,8a,06,0,120,0,3000,Gauteng E - Alberton/Benoni/Kempton,Gauteng East,,
AKHN01,41,10a,02,0,120,0,20000,Durban,KZN/DBN,,
AKHN02,41,10a,02,0,120,0,3000,Durban,KZN/DBN,,
AKHN03,43,3a,05,0,120,0,5000,Soweto/Lenasia,Soweto / Lenasia,,
AKHN04,40,6b,04,0,120,0,2000,West Cape,Western Cape / Cape Town,,
AKHN05,49,10a,02,0,120,0,2000,Durban,KwaZulu-Natal / Durban,,
AKHN08,4,1b,03,0,120,0,3000,Pretoria North/South/West,Pretoria North/South /West,,
AKWN01,31,8a,06,0,120,0,2500,Gauteng E - Alberton/Benoni/Kempton,Gauteng East,,
AMAK01,43,3a,06,0,60,0,999999,Soweto/Lenasia,Soweto / Lenasia,,
AMAR01,40,6b,04,0,120,0,4000,West Cape,Western Cape / Cape Town,,
AMAR02,40,6b,04,0,120,0,5000,West Cape,Western Cape / Cape Town,,
AMKN02,34,1e,03,0,120,0,2000,Witbank/Middelburg,Witbank / Middelburg (Mpumalanga),,
AMMB01,19,4b,06,0,120,0,15000,Nelspruit / Tzaneen,Nelspruit / Tzaneen,,
AMOG01,47,2c,06,0,120,0,5000,Potch / Krugersdorp / Kuruman,Potch KlerksD Kuruman,,
AMOL01,46,2b,03,0,120,0,15000,Krugersdorp / Sun City,Krugersdorp Suncity,,
ANKD01,4,1b,03,0,120,0,5000,Pretoria North/South/West,Pretoria North/South /West,,
ANKM01,34,1e,03,0,120,0,2000,Witbank/Middelburg,Witbank / Middelburg (Mpumalanga),,
ANYT01,41,10a,02,0,30,0,4000,Durban,KZN/DBN,,
