inventory_code,prodcat_code,last_cost,stock_ind,unnamed:_5
001COL704,32,203,Yes,0.0
001COL722,32,203,Yes,73.0
001COLV67,32,203,Yes,0.0
003COL700,49,203,Yes,0.0
003COL704,49,203,Yes,0.0
003COL722,49,203,Yes,0.0
003COL955,49,203,Yes,0.0
004COL300X,52,428,Yes,0.0
004COL700,49,465,Yes,0.0
005COL300X,52,586,Yes,0.0
005COL700,49,581,Yes,0.0
006COL700,49,166,Yes,0.0
006COL722,49,166,Yes,0.0
006COLV67,49,166,Yes,0.0
007COL300X,52,489,Yes,0.0
007COL700,49,153,Yes,0.0
007COL722,20,153,Yes,0.0
007COLV67,49,153,Yes,0.0
008COL579,52,511,Yes,0.0
008COL700,49,153,Yes,0.0
008COL722,49,153,Yes,0.0
008COLV67,49,153,Yes,0.0
009COL300,52,489,Yes,0.0
009COL700,49,133,Yes,0.0
009COL722,49,133,Yes,0.0
009COL954,49,133,Yes,0.0
009COL955,49,133,Yes,0.0
010COL300Y,52,511,Yes,0.0
010COL579G,52,511,Yes,0.0
010COL700,49,133,Yes,0.0
010COL722,49,133,Yes,0.0
010COL955,49,133,Yes,0.0
011COL700,49,133,Yes,0.0
011COL722,49,133,Yes,0.0
011COLR72,52,511,Yes,0.0
012COL200,49,266,Yes,0.0
012COL568,49,266,Yes,0.0
012COL700,49,266,Yes,0.0
012COL722,49,266,Yes,0.0
013COL200,49,266,Yes,0.0
013COL300Y,52,423,Yes,0.0
013COL700,49,266,Yes,0.0
013COL722,49,266,Yes,0.0
013COLV23,49,266,Yes,0.0
014COL200,49,266,Yes,0.0
014COL700,49,266,Yes,0.0
014COL722,49,266,Yes,0.0
014COLV21,49,266,Yes,0.0
015COL700,49,153,Yes,0.0
015COL722,49,153,Yes,0.0
015COLT31,49,153,Yes,0.0
015COLV67,49,153,Yes,0.0
016COL700,49,133,Yes,0.0
016COL722,49,133,Yes,0.0
016COLV64,49,133,Yes,0.0
016COLV67,49,133,Yes,0.0
017COL700,49,153,Yes,0.0
017COL722,49,153,Yes,0.0
018COL700/51,99,147,Yes,0.0
018COL704/49,23,147,Yes,0.0
018COL722/51,99,147,Yes,0.0
